name	version	url	sha256	filename
plasma-login-manager	6.7.4	https://download.kde.org/stable/plasma/6.7.4/plasma-login-manager-6.7.4.tar.xz	8ba5f9a5b31b2cb09d6846c590d09891dadb9a5625426b8552577299093b67fd	plasma-login-manager-6.7.4.tar.xz
panel-colorizer	v8.0.0	https://github.com/luisbocanegra/plasma-panel-colorizer/releases/download/v8.0.0/plasmoid-panel-colorizer-v8.0.0.plasmoid	93f737af4d6291f2c84800090258c77511270817d7a5ecc56de45a6af966b2ee	plasmoid-panel-colorizer-v8.0.0.plasmoid
polonium	v1.2.1	https://github.com/zeroxoneafour/polonium/releases/download/v1.2.1/polonium.kwinscript	1f7cd126d4341761fde0e0d82f277118030dc372b734825d6b1edf3d41b6bd85	polonium.kwinscript
smart-video	v2.14.1	https://github.com/luisbocanegra/plasma-smart-video-wallpaper-reborn/releases/download/v2.14.1/plasma-smart-video-wallpaper-reborn-v2.14.1.tar.gz	7ac3c392942f40013622880a2ac1333734e1d63ac12cc0a73e54753d412789ca	plasma-smart-video-wallpaper-reborn.tar.gz
application-bar	v0.10.0	https://github.com/antroids/application-title-bar/releases/download/v0.10.0/application-title-bar.plasmoid	fb90a257ba9cce41deea27aef6f41a650a3a788af5542967d1d2c072c8ceac63	application-title-bar.plasmoid
kurve	v3.6.0	https://github.com/luisbocanegra/kurve/releases/download/v3.6.0/Kurve-v3.6.0.plasmoid	845b6823e2e2e91e82769e70c7a349fbc8ef7f90e360e0ad99884ee958ec9b03	Kurve-v3.6.0.plasmoid
klassy	v6.7.2	https://codeload.github.com/paulmcauley/klassy/tar.gz/c144ad45c0d1ab29a7cc5a10b0157809bb8cb492	3024db66c67fc312d4acd3bc69236a215191604ca559a1c74d17f85c0e4e59c9	klassy-v6.7.2.tar.gz
better-blur-dx	v2.5.1	https://codeload.github.com/xarblu/kwin-effects-better-blur-dx/tar.gz/e8475d0a7045e1ef035d54cff9cf2c0b02f0aff0	2a6379ef3d17acc2d8e7ca581eff5df15240015afdc97140fb0388cdc8443bf5	better-blur-dx-v2.5.1.tar.gz
daemon-kde-mk2	01bf4df	https://codeload.github.com/MathisP75/daemon-kde-mk2/tar.gz/01bf4df4666e9021ac8013bc2c4eaabc8d312d68	e4cf558c3d25f45fe302f339d5d23505d7a46a3a0e34a9cd48a7b2707bc38aa8	daemon-kde-mk2-01bf4df.tar.gz
silent-klockscreen	50c1e0c	https://codeload.github.com/Khip01/Silent-KLockscreen/tar.gz/50c1e0cda5d283abbbe7eea18f0a7693b71e12e7	0d05225d58a6adc99f79e25581e53028b52b9d2c02aaef8810468d552f1f8384	silent-klockscreen-50c1e0c.tar.gz
tv-glitch	v48	https://github.com/Schneegans/Burn-My-Windows/releases/download/v48/kwin6_effect_tv_glitch.tar.gz	9e4d1ff88d09d21285a4f8f08b79e3f13dc5d9a3a0deede077b9db82a284d7fd	kwin6_effect_tv_glitch-v48.tar.gz
shader-wallpaper	6a8c01eb7c3a47a0991707561da737b365553247	https://codeload.github.com/y4my4my4m/kde-shader-wallpaper/tar.gz/6a8c01eb7c3a47a0991707561da737b365553247	03a5a34cd1f8b11b83a39259c83b72ebbbb552d7f9c5cac5939f0cd10bbcc9a6	kde-shader-wallpaper-6a8c01eb7c3a47a0991707561da737b365553247.tar.gz
shader-tokyo	2def3ce132b4f5d9590e9eee0c17bd37a011835c	https://raw.githubusercontent.com/reindernijhoff/shadertoy/2def3ce132b4f5d9590e9eee0c17bd37a011835c/tokyo/Image.glsl	36e46b18071cb5fbb5461b1751996c124fe421e02e4093cc5dfe2e91e7e68551	shadertoy-Xtf3zn-2def3ce132b4f5d9590e9eee0c17bd37a011835c.glsl
shader-dusti	f6d538adf936215ccf2d11ba9b4a6c79ccb448c5	https://raw.githubusercontent.com/GabeRundlett/shadertoy-api-shaders/f6d538adf936215ccf2d11ba9b4a6c79ccb448c5/shaders/tcXXDB.json	82320f2e3857f00709318a7a144bc918e33fab817b965075506bf632d4cb0886	shadertoy-tcXXDB-f6d538adf936215ccf2d11ba9b4a6c79ccb448c5.json
